literacy_term_id,v_s,source,headword,definition,subject_category,note_raw,review_status_raw,reviewed_at,ai_tagged,external_id,classification
5757,S,schemareading-schema,독점시장,하나의 기업이 시장 전체의 상품 공급을 독점하고 있는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-779,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5758,S,schemareading-schema,독과점시장,하나의 기업 또는 소수의 기업이 시장을 지배하고 있는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-780,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5759,S,schemareading-schema,시장경제,가격 기구에 의해 상품의 생산과 소비가 결정되는 경제 체제.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-781,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5760,S,schemareading-schema,수요와 공급,"상품을 사려는 욕구와 파려는 욕구, 또는 그 수량.",사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-782,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5761,S,schemareading-schema,수요의 법칙,가격이 오르면 수요량이 줄고 내리면 수요량이 늘어나는 법칙.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-783,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5762,S,schemareading-schema,공급의 법칙,가격이 오르면 공급량이 늘고 가격이 내리면 공급량이 줄어드는 원리.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-784,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5763,S,schemareading-schema,탄력성,가격이나 소득 등이 변할 때 수요나 공급이 반응하여 변하는 정도.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-785,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5764,S,schemareading-schema,수요탄력성,가격이나 소득의 변화에 따라 수요량이 변하는 비율.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-786,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5765,S,schemareading-schema,공급탄력성,가격이 변함에 따라 상품의 공급량이 변하는 비율.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-787,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5766,S,schemareading-schema,소득탄력성,소득이 변함에 따라 상품의 수요량이 변하는 정도.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-788,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5767,S,schemareading-schema,균형가격,시장에서 수요량과 공급량이 서로 일치하여 결정되는 가격.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-789,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5768,S,schemareading-schema,소비자 잉여,소비자가 지불할 용의가 있는 최대 금액과 실제 지불한 금액의 차이.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-790,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5769,S,schemareading-schema,생산자 잉여,생산자가 실제로 받은 금액과 판매하고자 하는 최소 금액의 차이.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-791,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5770,S,schemareading-schema,효용,재화나 서비스를 소비할 때 얻는 주관적인 만족이나 유용성.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-792,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5771,S,schemareading-schema,한계효용,재화나 서비스를 한 단위 추가로 소비할 때 늘어나는 효용.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-793,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5772,S,schemareading-schema,한계효용 체감의 법칙,재화의 소비량이 증가함에 따라 추가로 얻는 한계효용이 줄어든다는 법칙.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-794,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5773,S,schemareading-schema,대체효과,한 상품의 가격 변화로 상대적으로 싸진 다른 상품으로 소비를 바꾸는 효과.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-795,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5774,S,schemareading-schema,소득효과,가격의 변화로 실질 소득이 변하여 상품의 수요량이 변하는 효과.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-796,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5775,S,schemareading-schema,기펜재,가격이 오르면 오히려 수요량이 늘어나는 성질을 가진 재화.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-797,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5776,S,schemareading-schema,대체재,서로 비슷하여 한 재화 대신 다른 재화를 쓸 수 있는 관계의 재화.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-798,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5777,S,schemareading-schema,보완재,두 가지 이상의 재화를 함께 사용할 때 만족감이 더욱 커지는 재화.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-799,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5778,S,schemareading-schema,생산요소,"재화나 서비스를 생산하는 과정에 투입되는 토지, 노동, 자본 따위의 자원.",사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-800,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5779,S,schemareading-schema,수확체감의 법칙,다른 생산 요소가 고정된 상태에서 한 요소를 추가할 때 늘어나는 생산량이 점차 줄어드는 법칙.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-801,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5780,S,schemareading-schema,생산비용,"재화나 서비스를 생산하는 데 필요한 원자재비, 임금 따위의 모든 비용.",사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-802,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5781,S,schemareading-schema,한계비용,재화나 서비스의 생산량을 한 단위 늘릴 때 추가로 들어가는 비용.,사회,소분류: 가격과 시장 균형 / 주차: 2주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-803,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5782,S,schemareading-schema,규모의 경제,생산 규모를 늘릴수록 제품 한 단위당 드는 평균 생산 비용이 줄어드는 현상.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-804,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5783,S,schemareading-schema,범위의 경제,한 기업이 여러 종류의 제품을 함께 생산함으로써 생산 비용을 줄이는 현상.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-805,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5784,S,schemareading-schema,경제적 지대,"공급이 제한된 생산 요소의 소유자가 얻는, 최소 수입을 초과하는 잉여 소득.",사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-806,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5785,S,schemareading-schema,한계소비성향,소득이 한 단위 늘어났을 때 소비가 늘어나는 비율.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-807,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5786,S,schemareading-schema,직접세,세금을 실제로 부담하는 납세자와 세금을 납부하는 의무자가 같은 조세.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-808,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5787,S,schemareading-schema,간접세,세금을 실제로 부담하는 사람과 이를 납부하는 의무자가 서로 다른 조세.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-809,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5788,S,schemareading-schema,조세의 전가,납세 의무자가 자신이 부담해야 할 세금을 상품 가격 등에 포함시켜 다른 사람에게 넘기는 일.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-810,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5789,S,schemareading-schema,사용가치,물건이 사람의 필요나 욕망을 충족해 주는 유용성의 정도.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-811,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5790,S,schemareading-schema,교환가치,어떤 물건이 다른 물건과 교환되는 가치나 비율.,사회,소분류: 경제 문제 / 주차: 3주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-812,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5791,S,schemareading-schema,경기,매매나 거래 등 경제 활동의 전반적인 활성화 상태.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-813,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5792,S,schemareading-schema,경기조절정책,경기가 지나치게 과열되거나 침체할 때 이를 적정한 수준으로 조절하는 정책.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-814,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5793,S,schemareading-schema,경기안정화정책,경제의 급격한 변동을 줄이고 물가와 고용을 안정시키기 위해 펼치는 정책.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-815,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5794,S,schemareading-schema,국민소득,한 나라의 국민이 일정 기간 새로 생산한 재화와 서비스의 가치를 합한 소득.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-816,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5795,S,schemareading-schema,국민소득 3면 등가의 법칙,"국민소득이 생산, 분배, 지출의 세 가지 측면에서 측정했을 때 모두 같다는 법칙.",사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-817,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5796,S,schemareading-schema,국민총소득,한 나라의 국민이 일정 기간 국내외에서 생산 활동에 참여하여 얻은 소득의 합계.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-818,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5797,S,schemareading-schema,국민순소득,국민총소득에서 생산 설비의 가치 감소분인 감가상각비를 뺀 소득.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-819,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5798,S,schemareading-schema,국내총생산,일정 기간 한 나라 안에서 생산된 최종 생산물의 시장 가치를 모두 합한 것.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-820,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5799,S,schemareading-schema,경제성장률,일정 기간 한 나라의 경제 규모나 실질 생산량이 얼마나 증가했는지를 나타내는 비율.,사회,소분류: 시장과 경제 활동 / 주차: 4주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-821,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5800,S,schemareading-schema,명목GDP,물가 변동을 반영하지 않고 당해 연도의 시장 가격을 기준으로 계산한 국내총생산.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-822,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5801,S,schemareading-schema,실질GDP,물가 변동의 영향을 제외하고 기준 연도의 가격을 적용하여 산출한 국내총생산.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-823,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5802,S,schemareading-schema,기대 인플레이션,기업이나 소비자 등 경제 주체들이 앞으로 물가가 얼마나 오를지 예상하는 정도.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-824,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5803,S,schemareading-schema,기저효과,비교하는 기준 시점의 수치가 너무 높거나 낮아 결과가 실제보다 크게 distortion되어 보이는 현상.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-825,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5804,S,schemareading-schema,긴축정책,경기 과열이나 물가 상승을 막기 위해 통화량을 줄이거나 정부 지출을 축소하는 정책.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-826,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5805,S,schemareading-schema,낙수효과,대기업이나 고소득층의 경제적 성과가 늘어나면 저소득층에게도 혜택이 돌아간다는 이론.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-827,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5806,S,schemareading-schema,명목소득,물가 변동에 따른 구매력을 고려하지 않고 현재 화폐 단위의 금액으로 나타낸 소득.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-830,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5807,S,schemareading-schema,실질소득,물가 변동을 반영하여 실제로 물건을 살 수 있는 돈의 가치를 나타낸 소득.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-831,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5808,S,schemareading-schema,물가지수,물가의 변동을 종합적으로 알아보기 위하여 기준 시점의 물가를 기준으로 나타낸 지표.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-832,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5809,S,schemareading-schema,스태그플레이션,경기가 침체하여 불황인데도 물가가 계속해서 오르는 현상.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-833,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5810,S,schemareading-schema,양적완화정책,중앙은행이 시장에 직접 돈을 풀어서 경기 침체를 막고 통화량을 늘리는 정책.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-834,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5811,S,schemareading-schema,재정정책,정부가 세금이나 지출을 조절하여 경기를 안정시키고 경제 성장을 조절하는 정책.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-835,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5812,S,schemareading-schema,정책시차,경제 정책을 수립하고 시행하여 실제 효과가 나타날 때까지 걸리는 시간.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-836,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5813,S,schemareading-schema,조세부담률,한 나라의 국민소득에서 국민이 내는 세금이 차지하는 비율.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-837,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5814,S,schemareading-schema,피셔효과,명목 금리가 실질 금리와 예상되는 물가 상승률의 합과 같아지는 현상.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-838,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5815,S,schemareading-schema,GDP갭,한 나라의 실제 국내총생산(GDP)과 잠재 국내총생산의 차이.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-839,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5816,S,schemareading-schema,GDP 디플레이터,명목 국내총생산(GDP)을 실질 국내총생산으로 나누어 국민경제의 전체 물가 수준을 나타낸 지수.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-840,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5817,S,schemareading-schema,세이의 법칙,공급이 그 자체의 수요를 스스로 창출하므로 만성적인 공급 과잉은 발생하지 않는다는 법칙.,사회,소분류: 정부의 경제정책 / 주차: 5주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-841,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5818,S,schemareading-schema,정보의 비대칭성,경제적 거래에서 한쪽 당사자가 다른 쪽보다 더 많거나 정확한 정보를 가진 상태.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-842,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5819,S,schemareading-schema,도덕적 해이,감시가 불충분하거나 위험을 타인에게 떠넘길 수 있을 때 주의를 게을리하는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-843,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5820,S,schemareading-schema,역선택,정보가 부족하여 바람직하지 않거나 불리한 대상을 선택하게 되는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-844,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5821,S,schemareading-schema,낙인효과,한번 나쁜 사람으로 인식이 되면 실제로도 그러할 것이라고 평가받는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-845,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5822,S,schemareading-schema,분수효과,저소득층의 소비 증대가 경제 전체를 활성화하고 고소득층의 소득까지 늘리는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-846,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5823,S,schemareading-schema,네트워크효과,어떤 상품이나 서비스를 사용하는 사람이 늘어날수록 그 가치와 효용이 커지는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-847,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5824,S,schemareading-schema,밴드웨건효과,다른 사람들의 소비 흐름에 따라 자신도 특정 상품을 따라 구매하게 되는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-848,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5825,S,schemareading-schema,스놉효과,남들이 많이 구매하는 상품의 소비는 피하고 자신만의 특별한 제품을 구하려는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-849,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5826,S,schemareading-schema,속물효과,많은 사람이 소비하는 제품을 피하여 자신만의 차별성과 희소성을 추구하는 소비 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-850,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5827,S,schemareading-schema,베블런효과,가격이 오르는데도 허영심이나 과시욕 때문에 수요가 오히려 늘어나는 현상.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-851,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5828,S,schemareading-schema,로렌츠곡선,인구의 누적 비율과 소득의 누적 비율 관계를 나타내어 소득 분배 상태를 보여 주는 곡선.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-852,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5829,S,schemareading-schema,지니계수,소득 불평등의 정도를 0과 1 사이의 수치로 나타낸 경제 지표.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-853,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5830,S,schemareading-schema,이스털린의 역설,소득이 일정 수준을 넘으면 소득이 늘어나도 행복도가 더 이상 비례하여 증가하지 않는다는 이론.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-854,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5831,S,schemareading-schema,골디락스,물가 상승에 대한 우려 없이 안정적이고 높은 경제 성장을 이어 가는 이상적인 경제 상태.,사회,소분류: 바람직한 소비선택 / 주차: 6주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-855,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
