content_id,lemma,literacy_term_id,is_S,verdict,verdict_reason,existing_caution_phase24,additional_finding_phase25
SR_L6CORE_4946,완결,4946,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)","기존 콘텐츠 '완료'(완전히 끝마침, content_id=SR_L4CORE_4759)와 뜻이 매우 근접한 유의어 - 동일 개념은 아니지만(완결은 저작물·연재물이 매듭지어짐에, 완료는 일반적 과업 종료에 더 흔히 쓰임) 출제 시 혼동 가능성이 있어 구분 문구 권장.",
SR_L6CORE_4947,왜곡,4947,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4948,용이,4948,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4950,운용,4950,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4951,위계,4951,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4953,의지,4953,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",이번 배치 내 '견지'(어떤 견해나 입장을 굳게 지니거나 지킴)와 '마음/입장을 굳게 지닌다'는 결의의 뉘앙스가 인접 - 지향/지양급 반의는 아니나 동시 출제 시 구분 문구 권장.,
SR_L6CORE_4955,일괄,4955,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4956,자발적,4956,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4957,자아,4957,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",원천 정의의 정신분석학 상세 설명(이드·초자아 관계)은 학생용 정의에서 핵심 의미(자기 자신에 대한 의식/관념)만 남기고 생략했다 - 새로운 의미를 추가한 것이 아니라 동일 표제어의 핵심 의미만 남긴 것이므로 의미 확장 아님.,
SR_L6CORE_4958,잠정,4958,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4960,전이,4960,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4961,전제,4961,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4962,전형적,4962,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4964,창출,4964,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4965,체재,4965,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",동음이의어 '체제'(정치·사회 조직)와 발음이 유사해 혼동될 수 있으나 literacy.db 표제어 자체는 '체재'로 별도 항목 - 표기 그대로 사용.,
SR_L6CORE_4966,총합,4966,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,"총합(모두를 합함)은 기존 콘텐츠 '총량'(SC_V19118_B118_002, 전체의 양 또는 무게)과 '전체를 나타내는 총-' 계열 근접 유의어. 총합=수·점수 등의 합계, 총량=물리적 양의 총계로 용법은 다르나 뜻풀이 자체가 근접해 구분 문구 필요(phase24 caution 누락)."
SR_L6CORE_4967,추진,4967,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",literacy.db 정의는 '사업을 추진하다'류 비유적 의미가 아니라 물체를 물리적으로 미는 좁은 의미다 - 예문도 물리적 맥락(로켓 엔진)으로만 작성해 원천 정의를 벗어나지 않게 했다. 흔히 쓰는 비유적 의미로 확장하지 않도록 주의.,
SR_L6CORE_4968,취하,4968,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4969,타당성,4969,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)","기존 콘텐츠 '부당성'(이치에 맞지 않는 성질, content_id=SC_V1964_B064_010)과 정반대 의미의 반의어 짝 - '지향/지양'급 혼동 위험. 동시 출제 시 구분 문구 강력 권장.",
SR_L6CORE_4970,탈피,4970,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",literacy.db 정의는 '낡은 관습에서 탈피하다'류 비유적 의미가 아니라 껍질·가죽을 벗는 문자 그대로의 좁은 의미다 - 예문도 생물학적 맥락(매미)으로만 작성해 원천 정의를 벗어나지 않게 했다. 흔히 쓰는 비유적 의미로 확장하지 않도록 주의.,
SR_L6CORE_4972,합리적,4972,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,"합리적(이론이나 이치에 합당한 것)은 기존 콘텐츠 '논리적'(SR_L5CORE_4858, 논리에 맞는 것)과 일상 어휘에서 자주 혼동되는 근접 유의어(교육 현장에서도 구분 지도가 흔한 쌍). phase24 caution에는 기록되지 않았음 - 구분 문구 필요."
SR_L6CORE_4973,개략,4973,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,"개략(내용을 대강 추려 줄임)은 기존 콘텐츠 '개괄'(SR_L5CORE_4839, 중요한 내용이나 줄거리를 대강 추려 냄)·'개관'(SR_L5CORE_4838, 전체를 대강 살펴봄)과 뜻이 매우 근접한 유의어 3종 클러스터를 이룬다(모두 '대강 요약/개관'류). phase24 caution에는 기록되지 않았음 - 완결/완료급 혼동 위험이 있어 추가 구분 문구 필요."
SR_L6CORE_4975,개진,4975,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4978,객체,4978,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4979,견지,4979,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",이번 배치 내 '의지'와 뉘앙스가 인접(위 '의지' 항목 참고) - 동시 출제 시 구분 문구 권장.,
SR_L6CORE_4980,결속,4980,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4981,결여,4981,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)","원천 정의 원문에 '없어나'라는 오탈자가 있어 학생용 정의에서는 문맥상 뜻이 통하는 '없어지거나'로만 바로잡아 표기했다(의미 추가/변경 없음, 오탈자 정정). 또한 기존 콘텐츠 '결점'(잘못되거나 부족하여 완전하지 못한 점, content_id=SC_V1920_B020_032)과 '부족함' 계열 의미가 인접 - 결여=있어야 할 것이 없는 상태, 결점=구체적인 흠 자체로 뜻은 구분되나 동시 출제 시 유의.",
SR_L6CORE_4984,관통,4984,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4985,궁극,4985,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4986,극단,4986,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)","이번 배치 내 '극대'와 형태가 유사(1글자 차이) - 극단은 위치·정도의 끝(맨 끝)을, 극대는 크기의 정도(더할 수 없이 큼)를 가리켜 의미 축이 다르므로 반의어는 아니나 동시 출제 시 구분 문구 권장.",
SR_L6CORE_4987,극대,4987,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",'극단'과 형태 유사(위와 동일 근거) - 동시 출제 시 구분 문구 권장.,
SR_L6CORE_4988,기각,4988,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4989,기인,4989,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
