literacy_term_id,headword,pos,definition,reuse_check,dryrun_status,existing_caution_phase23,additional_note_phase25
4996,명확성,명사,명백하고 확실한 성질.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4997,반문,명사,물음에 대답하지 아니하고 되받아 물음. 또는 그 물음.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4998,배타,명사,남을 배척함.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4999,범주,명사,동일한 성질을 가진 부류나 범위.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5000,법칙,명사,반드시 지켜야만 하는 규범.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5001,분절성,명사,"언어에서, 여러 단위로 나누어지고 결합할 수 있는 특성. 또는 연속적으로 이루어져 있는 세계를 불연속적으로 끊어서 표현하는 특성. 경계가 분명하지 않은 무지개의 색깔을 일곱 개의 색깔로 끊어서 표현하는 것 따위이다.","NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5002,신장,명사,세력이나 권리 따위가 늘어남. 또는 늘어나게 함.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5003,실재,명사,실제로 존재함.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"실질과 의미 인접(""실제로 존재/실제 본바탕"") - 혼동 가능",
5004,실증,명사,확실한 증거.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5005,실질,명사,실제로 있는 본바탕.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"실재와 의미 인접(""실제로 존재/실제 본바탕"") - 혼동 가능",
5006,심층,명사,사물의 속이나 밑에 있는 깊은 층.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5007,아래,명사,어떤 기준보다 낮은 위치.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5008,암시,명사,넌지시 알림. 또는 그 내용. 뜻하는 바를 간접적으로 나타내는 표현법.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5010,양극화,명사,서로 점점 더 달라지고 멀어짐.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5011,양상,명사,사물이나 현상의 모양이나 상태.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5012,언급,명사,어떤 문제에 대하여 말함.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5014,역점,명사,심혈을 기울이거나 쏟는 점.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5015,연쇄,명사,연결된 사슬.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5016,여지,의존명사,어떤 일을 하거나 어떤 일이 일어날 가능성이나 희망.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5020,이룩,명사,이룩하다의 어근. 어떤 큰 현상이나 사업 따위를 이룸.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5021,이면,명사,물체의 뒤쪽 면.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,전면(앞면)과 정반대 의미의 대비 짝(앞면/뒷면) - 동시 출제 시 구분 문구 권장,
5023,이상하다,형용사,정상적인 상태와 다르다.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5024,이성,명사,개념적으로 사유하는 능력을 감각적 능력에 상대하여 이르는 말. 인간을 다른 동물과 구별시켜 주는 인간의 본질적 특성이다.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,"literacy.db 내에는 '이성'(개념적 사유 능력) 항목이 하나뿐이라 DB 내부 동형이의 충돌은 없으나, 일상어에서 흔한 '이성(異性, 남녀 관계)' 의미와 외부적으로 혼동될 수 있어 실제 배치 시 예문에서 사유 능력 맥락임을 분명히 할 필요."
5025,입각,명사,어떤 사실이나 주장 따위에 근거를 두어 그 입장에 섬.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
5026,패러다임,명사,어떤 한 시대 사람들의 견해나 사고를 근본적으로 규정하고 있는 테두리로서의 인식의 체계. 또는 사물에 대한 이론적인 틀이나 체계.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
