literacy_term_id,v_s,source,headword,pos,definition,sense_category,subject_category,note_raw,grade_level_raw,grade_source_raw,grade_evidence_strength,review_status_raw,ai_tagged,external_id,lower_level_match_count,lower_level_match_detail,reuse_check,homonym_numeric_suffix,caution,final_classification,classification_reason,proposed_first_l6_batch
6028,S,schemareading-schema,공판,,"기소된 형사 사건을 법원이 심리하는 일. 또는 그런 절차. 검사, 피고인, 변호인 들이 입회하여 증거를 제출하면 법원이 유죄ㆍ무죄를 판단하는 형사 소송의 중심 절차이다.",법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1068,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6030,S,schemareading-schema,적법절차의 원칙,,국민의 권리를 제한하는 경우에는 반드시 적법한 절차와 국회가 정한 법률에 근거하여야 한다는 원칙.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1070,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6031,S,schemareading-schema,무죄추정의 원칙,,유죄 판결이 확정될 때까지는 형사 피고인을 무죄로 본다는 원칙.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1071,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6032,S,schemareading-schema,국선변호인,,"가난 따위의 이유로 변호사를 선임할 수 없는 형사 피고인을 위하여, 법원이 선임하여 붙이는 변호인. 예전의 ‘관선 변호인’을 고쳐 이르는 말이다.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1072,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6033,S,schemareading-schema,미란다원칙,,피의자를 체포할 때 피의자에게 알려야 할 헌법상의 권리를 지키는 원칙.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1073,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6034,S,schemareading-schema,범죄피해자구조제도,,범죄 행위로 사망하거나 장해 또는 중상해를 입었음에도 불구하고 범죄 피해의 전부 또는 일부를 보상받지 못하는 등의 사유가 발생한 경우에 국가에서 피해자 또는 유족에게 일정 한도의 구조금을 지급하는 제도.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1074,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6035,S,schemareading-schema,배상명령제도,,형사 사건의 피해자가 범인의 형사 재판 과정에서 간편한 방법으로 민사적인 손해 배상 명령까지 받아 낼 수 있는 제도.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1075,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6036,S,schemareading-schema,실체법,,"권리나 의무의 발생, 변경, 소멸, 성질, 내용, 범위 따위의 실체적 법률관계를 규정하는 법률. 헌법, 민법, 형법, 상법 따위가 있다.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1076,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,절차법과 대비 짝(실체법=권리·의무의 내용을 규정 / 절차법=그 실현 절차를 규정) - 같은 세트 출제 시 구분 문구 권장,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6037,S,schemareading-schema,절차법,,"권리의 실질적 내용을 실현하는 데 필요한 절차를 규정한 법. 민사 소송법, 형사 소송법, 부동산 등기법 따위가 있다.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1077,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,실체법과 대비 짝(위와 동일) - 같은 세트 출제 시 구분 문구 권장,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6038,S,schemareading-schema,일반법,,"특별한 제한 없이 일반적으로 적용되는 법. 헌법, 형법, 민법 따위이다.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1078,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,특별법과 대비 짝(일반법=일반 적용 / 특별법=특정 대상 한정 적용) - 같은 세트 출제 시 구분 문구 권장,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6039,S,schemareading-schema,특별법,,"특정한 지역, 사람, 사물, 사항에 국한하여 적용하는 법.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1079,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,일반법과 대비 짝(위와 동일) - 같은 세트 출제 시 구분 문구 권장,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6040,S,schemareading-schema,노동법,,"근로자들의 근로관계를 규정하고 근로자들의 생활을 향상하려고 만든 법규를 통틀어 이르는 말. 노동조합 및 노동관계 조정법, 근로 기준법, 노동 위원회법 따위가 있다.",법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1081,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6041,S,schemareading-schema,사회보장법,,국민의 인간다운 생활을 도모하기 위한 사회 보장 제도의 확립과 그 효율적인 발전을 꾀하기 위해 제정된 법률.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1082,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6042,S,schemareading-schema,경제법,,경제 활동에서 생기는 모순과 폐해를 정책적으로 조정하고 통제하기 위한 법.,법,사회,소분류: 사회법 / 주차: 19주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1083,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6043,S,schemareading-schema,행정법,,"행정에 특유한 국내법. 한국에서는 대륙행정법의 영향을 받아 전통적으로 이와 같이 불러왔는데, 이에는 행정의 조직·작용 및 행정구제에 관한 법이 포함된다.",법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1084,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6044,S,schemareading-schema,행정행위,,행정권의 작용으로서 행해지는 구체적인 행위.,법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1085,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6045,S,schemareading-schema,행정지도,,행정기관이 행정객체에 대하여 권력적·법적 행위에 의하지 않고 행정목적을 달성하기 위한 규제·유도의 수단으로서 협력을 구하는 일.,법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1086,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6046,S,schemareading-schema,행정구제제도,,"국가의 행정작용으로 발생한 국민의 신체, 재산상의 손해, 권리침해에 대하여 국가 또는 공공단체가 이를 구제해주는 제도를 말한다.",법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1087,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6047,S,schemareading-schema,행정쟁송제도,,"행정기관의 위법·부당한 처분으로 말미암아 개인의 권익이 침해된 경우, 그 처분을 취소하거나 변경하는 등의 시정을 함으로써 국민의 권리를 보호하기 위한 행정구제 제도이다.",법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1088,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6048,S,schemareading-schema,행정심판,,위법ㆍ부당한 행정 행위로 인하여 권익을 침해당한 경우에 행정 기관이 이를 심리하고 판결하는 절차.,법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1089,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6049,S,schemareading-schema,행정소송,,행정 관청이 행한 처분에 불복하여 해당 행정 관청을 상대로 처분의 취소나 변경 또는 무효 확인 따위를 법원에 요구하는 소송. 위법 처분뿐만 아니라 부작위도 소송의 대상이 된다.,법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1090,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6050,S,schemareading-schema,김영란법,,공직자 등에 대한 부정 청탁 및 공직자 등의 금품 등 수수(收受)를 금지하는 법률. 공직자 등의 공정한 직무 수행을 보장하고 공공 기관에 대한 국민의 신뢰를 확보하는 것을 목적으로 2016년 9월 28일에 시행되었다. 정식 명칭은 ‘부정 청탁 및 금품 등 수수의 금지에 관한 법률’이다.,법,사회,소분류: 행정법 / 주차: 20주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1091,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
4942,V,schemareading-tooldict,아이디어,명사,어떤 일에 대한 구상,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-5,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4943,V,schemareading-tooldict,야기,명사,일이나 사건 따위를 끌어 일으킴.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-8,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4944,V,schemareading-tooldict,엄밀,명사,매우 세밀함.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-11,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4945,V,schemareading-tooldict,오류,명사,그릇되어 이치에 맞지 않는 일.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-15,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4946,V,schemareading-tooldict,완결,명사,완전하게 끝을 맺음.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-16,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4947,V,schemareading-tooldict,왜곡,명사,사실과 다르게 해석하거나 그릇되게 함.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-18,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4948,V,schemareading-tooldict,용이,명사,어렵지 아니하고 아주 쉬움. 용이하다의 어근.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-22,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4949,V,schemareading-tooldict,운동,명사,사람이 몸을 단련하거나 건강을 위하여 몸을 움직이는 일.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-25,1,"[{""id"": 6294, ""headword"": ""운동"", ""source"": ""schemareading-schema"", ""level"": 3, ""definition"": ""물체가 시간의 경과에 따라 그 공간적 위치를 바꾸는 일.""}]","NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,SENSE_REVIEW,"literacy.db 내 동일 headword가 schemareading-schema level=3에 ""물체의 위치 변화(물리)"" 뜻으로 별도 존재 - L6 V 뜻(신체 단련)과 동형이의, 의미 분리 확인 필요",
4950,V,schemareading-tooldict,운용,명사,무엇을 움직이게 하거나 부리어 씀.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-26,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4951,V,schemareading-tooldict,위계,명사,지위나 계층 따위의 등급.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-27,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4952,V,schemareading-tooldict,이용01,명사,대상을 필요에 따라 이롭게 씀.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-30,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",Y,,HOLD,"동형이의 번호 분리 표기(literacy.db 자체 표기) - phase11/12와 동일 기준으로 의미 미확정, 콘텐츠화 전 확정 필요",
4953,V,schemareading-tooldict,의지,명사,어떠한 일을 이루고자 하는 마음.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-39,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
4954,V,schemareading-tooldict,인하다01,동사,어떤 사실로 말미암다.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-41,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",Y,,HOLD,"동형이의 번호 분리 표기(literacy.db 자체 표기) - phase11/12와 동일 기준으로 의미 미확정, 콘텐츠화 전 확정 필요",
4955,V,schemareading-tooldict,일괄,명사,개별적인 여러 가지 것을 한데 묶음.,,,,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,L6-42,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"literacy.db 정의 원문 그대로 사용 가능, 동형이의/나선형 반복/기존 콘텐츠 중복 없음",Y
