idiom_a,headword_a,idiom_b,headword_b,rel_type,note
214,허장성세,203,침소봉대,confusable,"허장성세는 실속 없이 큰소리침, 침소봉대는 작은 사실을 부풀림이다."
105,새옹지마,179,전화위복,confusable,"새옹지마는 앞일을 알 수 없다는 것, 전화위복은 화가 실제로 복이 된 것이다."
179,전화위복,28,고진감래,confusable,"전화위복은 나쁜 일이 좋게 바뀜, 고진감래는 고생 끝에 즐거움이 옴이다."
48,기사회생,41,권토중래,confusable,"기사회생은 죽을 뻔하다 살아남, 권토중래는 실패 후 힘을 모아 다시 도전함이다."
33,괄목상대,220,환골탈태,confusable,"괄목상대는 남이 보고 놀랄 만큼 는 것, 환골탈태는 아예 딴사람이 된 것이다."
14,개과천선,220,환골탈태,confusable,"개과천선은 잘못을 고쳐 착해짐, 환골탈태는 사람 자체가 나아진 것이다."
104,상전벽해,15,격세지감,confusable,"상전벽해는 세상이 바뀐 사실, 격세지감은 그것을 보고 느끼는 감정이다."
183,조변석개,143,요지부동,confusable,"조변석개는 자주 뜯어고침, 요지부동은 흔들어도 꼼짝 않음. 정반대다."
181,절치부심,142,와신상담,confusable,"절치부심은 그 자리의 분한 감정, 와신상담은 오래 참으며 준비하는 것이다."
181,절치부심,96,비분강개,confusable,"절치부심은 이를 갈며 속을 썩임, 비분강개는 슬프고 분해 의분이 북받침이다."
93,분기탱천,96,비분강개,confusable,"분기탱천은 분함이 치솟는 것, 비분강개는 슬픔이 섞인 의분이다."
49,기호지세,191,진퇴양난,confusable,"기호지세는 그만둘 수 없어 계속 가는 것, 진퇴양난은 어느 쪽도 못 가는 것이다."
175,적반하장,223,후안무치,confusable,"적반하장은 잘못한 자가 도리어 성내는 행동, 후안무치는 부끄러움을 모르는 성품이다."
205,토사구팽,11,감탄고토,confusable,"토사구팽은 쓸모가 없어지자 버림, 감탄고토는 제 비위에 따라 취하고 버림이다."
11,감탄고토,92,부화뇌동,confusable,"감탄고토는 제 이익에 따라 태도를 바꿈, 부화뇌동은 줏대 없이 남을 따름이다."
113,소탐대실,159,일거양득,confusable,"소탐대실은 작은 것을 탐하다 큰 것을 잃음, 일거양득은 하나로 둘을 얻음. 정반대다."
1,가렴주구,107,서절구투,confusable,"가렴주구는 권력이 백성을 수탈함, 서절구투는 좀도둑질이다."
137,오리무중,128,암중모색,confusable,"오리무중은 갈피를 못 잡는 상태, 암중모색은 그 속에서 더듬어 찾는 행동이다."
66,막무가내,143,요지부동,confusable,"막무가내는 고집을 꺾지 않는 성질, 요지부동은 움직이지 않는 상태다."
224,후회막급,70,만시지탄,confusable,"후회막급은 뉘우쳐도 소용없음, 만시지탄은 때를 놓친 것을 한탄함이다."
157,이왕지사,224,후회막급,confusable,"이왕지사는 이미 지난 일이라는 사실, 후회막급은 그에 대한 뉘우침이다."
176,전인미답,150,유일무이,confusable,"전인미답은 아무도 가 보지 못한 것, 유일무이는 오직 하나뿐인 것이다."
64,두문불출,80,무위도식,confusable,"두문불출은 바깥출입을 안 함, 무위도식은 하는 일 없이 놀고먹음이다."
42,근묵자흑,148,유유상종,confusable,"근묵자흑은 물드는 것, 유유상종은 애초에 같은 무리끼리 모이는 것이다."
190,지기지우,89,백아절현,confusable,"지기지우는 나를 알아주는 벗, 백아절현은 그 벗을 잃은 슬픔이다."
77,명재경각,48,기사회생,confusable,"명재경각은 곧 숨이 끊어질 지경, 기사회생은 거기서 다시 살아남이다."
24,경거망동,85,방약무인,confusable,"경거망동은 생각 없이 함부로 행동함, 방약무인은 남을 아랑곳하지 않는 태도다."
47,기고만장,127,안하무인,confusable,"기고만장은 우쭐하여 뽐냄, 안하무인은 남을 아래로 보는 것이다."
83,물아일체,81,무위자연,confusable,"물아일체는 나와 사물이 하나 됨, 무위자연은 꾸밈없이 자연에 맡김이다."
217,호구지책,210,풍찬노숙,confusable,"호구지책은 겨우 먹고사는 방책, 풍찬노숙은 객지에서 겪는 고생이다."
