idiom_id,sentence,context_type,grade_band,source
56,작은 가게 주인은 승산 없는 줄 알면서도 대기업을 상대로 소송을 걸었다.,situation,mid,handwritten-2026-09
57,성적표를 받아 든 그의 얼굴이 순식간에 하얗게 굳었다.,situation,mid,handwritten-2026-09
61,같은 병을 앓는 두 사람은 처음 만난 사이인데도 서로의 고통을 누구보다 잘 이해했다.,situation,mid,handwritten-2026-09
64,실연 후 그는 며칠째 방문을 걸어 잠근 채 밖에 나오지 않았다.,situation,mid,handwritten-2026-09
85,그는 도서관에서 큰 소리로 통화하면서도 주위 시선을 전혀 신경 쓰지 않았다.,situation,mid,handwritten-2026-09
89,자신의 그림을 유일하게 알아봐 주던 벗이 세상을 떠나자 화가는 다시는 붓을 들지 않았다.,situation,mid,handwritten-2026-09
93,억울한 판정을 본 관중들의 분노가 순식간에 경기장 전체로 퍼졌다.,situation,mid,handwritten-2026-09
104,논밭이었던 자리에 이제는 높은 빌딩들이 빼곡히 들어서 있었다.,situation,mid,handwritten-2026-09
111,그 소문을 두고 동네 사람들 사이에 며칠째 말이 오갔다.,situation,mid,handwritten-2026-09
116,친구들이 다투는 동안 그는 팔짱을 낀 채 지켜보기만 했다.,situation,mid,handwritten-2026-09
119,우연히 한 번 성공한 방법을 그는 그 뒤로도 똑같이 반복하며 다른 시도는 하지 않았다.,situation,mid,handwritten-2026-09
127,그는 신입 사원들에게 반말을 하며 자기 뜻대로만 지시를 내렸다.,situation,mid,handwritten-2026-09
142,패배를 되갚기 위해 그는 편한 잠자리를 마다하고 몇 년을 훈련에만 매달렸다.,situation,mid,handwritten-2026-09
143,몇 번을 설득해도 그의 결심은 조금도 바뀌지 않았다.,situation,mid,handwritten-2026-09
145,명백한 증거 앞에서 그는 아무런 변명도 내놓지 못했다.,situation,mid,handwritten-2026-09
157,이미 벌어진 일을 두고 후회해 봐야 달라질 건 없었다.,situation,mid,handwritten-2026-09
163,협상은 한 걸음 나아갔다가 다시 한 걸음 물러서기를 며칠째 반복했다.,situation,mid,handwritten-2026-09
169,남들은 잘했다고 하는데도 그는 자신의 실력이 부족하다며 스스로를 낮췄다.,situation,mid,handwritten-2026-09
170,거짓말을 둘러대다 앞뒤가 맞지 않아 그는 스스로 한 말에 발목이 잡혔다.,situation,mid,handwritten-2026-09
177,혹시 들킬까 봐 그는 며칠 내내 안절부절못하며 눈치를 살폈다.,situation,mid,handwritten-2026-09
182,변명을 늘어놓을수록 그의 이야기는 앞뒤가 맞지 않아 점점 더 우스꽝스러워졌다.,situation,mid,handwritten-2026-09
195,두 제품은 가격은 비슷했지만 성능은 비교할 수 없을 만큼 차이가 컸다.,situation,mid,handwritten-2026-09
201,비슷한 형편의 사람들끼리 자연스레 모여 어울리게 되었다.,situation,mid,handwritten-2026-09
203,사소한 실수를 그는 마치 큰 사고라도 난 것처럼 부풀려 말했다.,situation,mid,handwritten-2026-09
207,겉으로는 친절했지만 그의 속마음은 전혀 딴판이었다.,situation,mid,handwritten-2026-09
212,진실을 알고 있었지만 그는 끝까지 한마디도 하지 않았다.,situation,mid,handwritten-2026-09
214,가진 것도 없으면서 그는 만나는 사람마다 성공했다고 큰소리를 쳤다.,situation,mid,handwritten-2026-09
215,가족도 친척도 없이 그는 낯선 도시에 혼자 도착했다.,situation,mid,handwritten-2026-09
220,몇 년 만에 다시 만난 그는 예전 모습을 찾아볼 수 없을 만큼 완전히 달라져 있었다.,situation,mid,handwritten-2026-09
9,두 사람은 밤새 술잔을 기울이며 그동안 쌓아 둔 속마음을 남김없이 털어놓았다.,situation,mid,handwritten-2026-09
35,그는 상사 앞에서만 유독 달콤한 말과 웃음을 지어 보였다.,situation,mid,handwritten-2026-09
36,그는 다정한 말투로 다가왔지만 뒤에서는 그를 몰아낼 계획을 짜고 있었다.,situation,mid,handwritten-2026-09
39,왕조가 무너지자 각지의 세력가들이 저마다 땅을 차지하며 다투기 시작했다.,situation,mid,handwritten-2026-09
41,첫 도전에서 실패한 그는 일 년 동안 다시 힘을 길러 재도전에 나섰다.,situation,mid,handwritten-2026-09
70,합격자 발표가 난 뒤에야 그는 미리 신청했어야 했다며 아쉬워했다.,situation,mid,handwritten-2026-09
75,부하는 앞에서는 고개를 숙였지만 돌아서자마자 몰래 다른 계획을 꾸몄다.,situation,mid,handwritten-2026-09
77,환자의 상태가 급격히 나빠져 의료진은 한시가 급하다고 판단했다.,situation,mid,handwritten-2026-09
80,직장을 그만둔 뒤로 그는 몇 달째 아무 일도 하지 않고 집에서 빈둥거렸다.,situation,mid,handwritten-2026-09
88,예산도 계획도 없이 미루기만 하는 그 사업은 언제 끝날지 기약이 없었다.,situation,mid,handwritten-2026-09
92,그는 자기 생각도 없이 주변 사람들 말에 따라 이랬다저랬다 했다.,situation,mid,handwritten-2026-09
96,부당한 처분 소식을 들은 사람들은 저마다 가슴을 치며 분노했다.,situation,mid,handwritten-2026-09
115,타지에서 수십 년을 산 노인은 죽기 전에 고향 땅을 한 번만이라도 보고 싶어 했다.,situation,mid,handwritten-2026-09
128,뚜렷한 단서 없이 수사팀은 여러 가능성을 하나씩 짚어 가며 해결책을 찾고 있었다.,situation,mid,handwritten-2026-09
136,장비도 자금도 없는 상태에서 그는 세계 최고가 되겠다고 무모하게 밀어붙였다.,situation,mid,handwritten-2026-09
140,평소 사이가 나빴던 두 회사는 공동의 위기 앞에서 어쩔 수 없이 손을 잡았다.,situation,mid,handwritten-2026-09
153,장난감 하나로 무장한 군대에 맞서겠다는 그의 계획은 누가 봐도 무모했다.,situation,mid,handwritten-2026-09
168,그는 절약을 강조하면서도 정작 자신은 값비싼 물건만 사들였다.,situation,mid,handwritten-2026-09
176,탐험대는 지금껏 인간의 발길이 닿은 적 없는 깊은 동굴로 들어섰다.,situation,mid,handwritten-2026-09
181,결승에서 진 그날 이후 그는 억울함에 밤마다 이를 갈며 지냈다.,situation,mid,handwritten-2026-09
192,빚은 늘어 가는데 갚을 방법도 도망칠 곳도 없어 그는 꼼짝할 수 없었다.,situation,mid,handwritten-2026-09
205,회사에 큰 이익을 안겨 준 그는 프로젝트가 끝나자마자 곧바로 해고당했다.,situation,mid,handwritten-2026-09
210,고향을 떠난 그는 몇 년 동안 낯선 땅을 떠돌며 온갖 고생을 다 겪었다.,situation,mid,handwritten-2026-09
217,그는 끼니를 잇기 위해 닥치는 대로 아무 일이나 맡아 했다.,situation,mid,handwritten-2026-09
223,잘못을 저지르고도 그는 눈 하나 깜짝하지 않고 뻔뻔하게 굴었다.,situation,mid,handwritten-2026-09
1,관아는 흉년에도 세금을 곱절로 거두고 백성의 곡식까지 남김없이 빼앗아 갔다.,situation,high,handwritten-2026-09
3,그는 삼 년 동안 새벽마다 일어나 몸과 마음을 다해 실력을 갈고닦았다.,situation,high,handwritten-2026-09
5,억울하게 누명을 쓴 그는 밤마다 사무치는 원통함에 잠을 이루지 못했다.,situation,high,handwritten-2026-09
6,가족을 잃은 그날의 기억은 평생 그의 가슴에 사무치는 한으로 남았다.,situation,high,handwritten-2026-09
16,그는 전혀 관계없는 근거를 끌어다 자기주장이 옳다고 억지로 짜맞췄다.,situation,high,handwritten-2026-09
71,배울 것이 너무 많고 갈래도 다양해 그는 어디서부터 손대야 할지 막막해했다.,situation,high,handwritten-2026-09
73,타향에서 하늘의 구름을 바라볼 때마다 그는 고향에 계신 부모님이 사무치게 그리웠다.,situation,high,handwritten-2026-09
74,폐허가 된 옛 도읍을 바라보며 그는 사라진 나라를 떠올리며 탄식했다.,situation,high,handwritten-2026-09
81,그는 도시 생활을 접고 산속에서 흘러가는 대로 순리에 맡기며 살아갔다.,situation,high,handwritten-2026-09
83,그림에 몰두하는 동안 그는 자신과 붓과 화폭의 경계를 완전히 잊었다.,situation,high,handwritten-2026-09
86,학회장에서는 저마다 다른 학설을 내세우며 활발한 논쟁이 벌어졌다.,situation,high,handwritten-2026-09
107,그는 남의 집 담을 넘어 값나가는 물건을 몰래 훔쳐 달아났다.,situation,high,handwritten-2026-09
139,동료들이 다투는 동안 그는 자신과는 상관없는 일이라며 눈길도 주지 않았다.,situation,high,handwritten-2026-09
148,비슷한 취향을 가진 사람들은 어느새 자연스럽게 한데 모여 어울렸다.,situation,high,handwritten-2026-09
180,그는 스승 밑에서 몇 해 동안 쉬지 않고 실력을 갈고닦았다.,situation,high,handwritten-2026-09
183,그는 아침에 정한 방침을 저녁이면 또 뒤집어 부하 직원들을 지치게 했다.,situation,high,handwritten-2026-09
209,부모님이 돌아가신 뒤에야 그는 살아 계실 때 더 잘해 드리지 못한 것을 뼈저리게 후회했다.,situation,high,handwritten-2026-09
