idiom_id,sentence,context_type,grade_band,source
216,그는 자신의 실력이 아니라 윗사람의 이름을 내세워 아랫사람들에게 큰소리를 쳤다.,situation,mid,handwritten-2026-09-03-b2
2,아름답기로 소문났던 그녀는 젊은 나이에 병을 얻어 세상을 떠났다.,situation,mid,handwritten-2026-09-03-b2
51,경기 침체에 더해 이웃 나라와의 갈등까지 겹쳐 나라 전체가 어려움에 빠졌다.,situation,mid,handwritten-2026-09-03-b2
53,그는 큰 프로젝트든 사소한 잡무든 가리지 않고 무엇이든 척척 해냈다.,situation,mid,handwritten-2026-09-03-b2
58,주변 사람들이 모두 뜻을 바꿀 때도 그만은 끝까지 자신의 신념을 지켰다.,situation,mid,handwritten-2026-09-03-b2
79,참혹한 사고 현장은 눈을 뜨고 차마 지켜볼 수 없을 정도였다.,situation,mid,handwritten-2026-09-03-b2
123,많이 알고 있는 탓에 오히려 이것저것 걱정거리만 늘어난 것 같다고 그는 한탄했다.,situation,mid,handwritten-2026-09-03-b2
161,학교는 규칙을 어긴 학생 한 명을 엄하게 처벌하여 다른 학생들에게 경각심을 주었다.,situation,mid,handwritten-2026-09-03-b2
172,위기 상황에서도 팀원들은 힘을 모으기는커녕 자기들끼리 다투기 시작했다.,situation,mid,handwritten-2026-09-03-b2
196,마지막 순간 예상치 못한 도움 덕분에 그는 기적처럼 위기를 벗어났다.,situation,mid,handwritten-2026-09-03-b2
13,전쟁이 끝난 뒤 거리마다 웃음소리가 넘치는 평화로운 풍경이 이어졌다.,situation,high,handwritten-2026-09-03-b2
17,큰돈을 벌 기회 앞에서도 그는 먼저 그것이 옳은 일인지를 따져 보았다.,situation,high,handwritten-2026-09-03-b2
34,어느새 십 년이 훌쩍 지나 있었으며 그는 시간이 얼마나 빨리 흘렀는지 새삼 놀랐다.,situation,high,handwritten-2026-09-03-b2
69,마지막 자금마저 바닥나자 그는 이제 더 손쓸 방법이 없다고 느꼈다.,situation,high,handwritten-2026-09-03-b2
109,백발을 휘날리며 나타난 노학자의 모습은 보는 이를 압도할 만큼 기품이 넘쳤다.,situation,high,handwritten-2026-09-03-b2
124,복잡하고 시끄러운 도시를 떠나 그는 조용한 산속으로 들어가 살기로 했다.,situation,high,handwritten-2026-09-03-b2
135,옛날에는 아내가 무조건 남편의 뜻을 따라야 한다는 생각이 당연하게 여겨졌다.,situation,high,handwritten-2026-09-03-b2
146,그가 남긴 업적은 수백 년이 지난 지금까지도 사람들 입에 오르내리며 칭송받는다.,situation,high,handwritten-2026-09-03-b2
193,아무리 꼼꼼한 그였지만 이번 계약서에서 사소한 조항 하나를 놓치고 말았다.,situation,high,handwritten-2026-09-03-b2
222,신입사원의 실력이 빠르게 늘어나는 것을 보고 선배들도 내심 긴장하기 시작했다.,situation,high,handwritten-2026-09-03-b2
